genus.x,specificEpithet.x,Genus synonyms,Epithet synonyms,Synonym edits,Main common name,Other common names,Excluded names,Accepted scientific name only,Accepted scientific name + common names,Accepted scientific name + common names + taxonomic synonyms,PubMed Virus Search,PubMed Central Virus Search,Scopus Virus Search,Google Scholar Virus Search 1,Google Scholar Virus Search 2,Google Scholar Virus Search 2,Google Scholar Virus Search 3
Onychomys,leucogaster,Onychomys,leucogaster|missouriensis|pallidus|longipes|melanophrys|fuliginosus|pallescens|brevicaudus|arcticeps|ruidosae|albescens|breviauritus|capitulatus|fuscogriseus|utahensis|durranti,,Northern Grasshopper Mouse,,,,,,,,,,,,
Onychomys,torridus,Onychomys,Hesperomys_(Onychomys)_torridus|longicaudus|ramona|perpallidus|macrotis|pulcher|tularensis|yakiensis|clarus|ater|knoxjonesi,,Southern Grasshopper Mouse,,,,,,,,,,,,
Oryzomys,albiventer,Oryzomys|Micronectomys,Oryzomys_albiventer,,White-bellied Marsh Rice Rat,White Venter Rice Rat,,,,,,,,,,,
Oryzomys,couesi,Oryzomys|Micronectomys,couesi|aquaticus|fulgens|bulleri|jalapae|mexicanus|peninsulae|aztecus|cozumelae|crinitus|goldmani|peragrus|richmondi|rufinus|rufus|teapensis|zygomaticus|molestus|apatelius|richardsoni|gatunensis|regillus|pinicola|lambi|azuerensis,,Coues’s Marsh Rice Rat,Coues’s Oryzomys|Coues’s Rice Rat,,,,,,,,,,,
Oryzomys,nelsoni,Oryzomys|Micronectomys,Oryzomys_nelsoni,,Tres Marias Rice Rat,Tres Marias Island Rice Rat,,,,,,,,,,,
Oryzomys,palustris,Oryzomys|Micronectomys,palustris|oryzivora|natator|coloratus|planirostris|sanibeli|argentatus,,Common Marsh Rice Rat,Marsh Oryzomys|Rice Meadow Mouse|Swamp Rice Rat,,,,,,,,,,,
Oryzomys,texensis,Oryzomys|Micronectomys,Oryzomys_palustris_texensis,,Texas Marsh Rice Rat,Texan Rice Rat,,,,,,,,,,,
Osgoodomys,banderanus,Osgoodomys,Peromyscus_banderanus|vicinior,,Osgood’s Deermouse,Michoacan Deermouse,,,,,,,,,,,
Otonyctomys,hatti,Otonyctomys,Otonyctomys_hatti,,Yucatan Vesper Rat,Hatt’s Vesper Mouse|Hatt’s Vesper Rat|Yucatan Vesper Mouse,,,,,,,,,,,
Ototylomys,chiapensis,Ototylomys,chiapensis,,La Pera Climbing Rat,La Pera Big-eared Climbing Rat,,,,,,,,,,,
Ototylomys,phyllotis,Ototylomys,Ototylomys_phyllotis|phaeus|fumeus|fuatemalae|australis|connectens|affinis|brevirostris,,Big-eared Climbing Rat,,,,,,,,,,,,
Peromyscus,arcticus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,arcticus,,Yukon Deermouse,,,,,,,,,,,,
Peromyscus,attwateri,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_attwateri|bellus|laceyi|cansensis,,Texas Deermouse,Texas Mouse,,,,,,,,,,,
Peromyscus,aztecus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,aztecus|Peromyscus_oaxacensis|evides|yautepecus,,Aztec Deermouse,Aztec Mouse,,,,,,,,,,,
Peromyscus,beatae,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,beatae|sacarensis,,Orizaba Deermouse,,,,,,,,,,,,
Peromyscus,boylii,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Hesperomys_boylii|major|pinalis|robustus|rowleyi|gaurus|metallicola|parasiticus|glasselli|utahensis,,Brush Deermouse,Brush Mouse,,,,,,,,,,,
Peromyscus,bullatus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_bullatus,,Perote Deermouse,Perote Mouse,,,,,,,,,,,
Peromyscus,californicus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,californicus|parasiticus|insignis|benitoensis|mariposae,,California Deermouse,California Mouse,,,,,,,,,,,
Peromyscus,caniceps,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,caniceps,,Monserrat Island Deermouse,Burt’s Deermouse|Montserrat Island Canyon Mouse,,,,,,,,,,,
Peromyscus,carletoni,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,carletoni,,Carleton’s Deermouse,,,,,,,,,,,,
Peromyscus,carolpattonae,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,carolpattonae,,Carol Patton’s Deermouse,,,,,,,,,,,,
Peromyscus,chrysopus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,chrysopus,,Jalisco Deermouse,,,,,,,,,,,,
Peromyscus,crinitus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Hesperomys_crinitus|auripectus|stephensi|scitulus|petraius|pallidissimus|disparilis|peridoneus|pergracilis|delgadilli|rupicolus|scopulorum|doutii,,Canyon Deermouse,Canyon Mouse,,,,,,,,,,,
Peromyscus,dickeyi,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,dickeyi,,Dickey’s Deermouse,Dickey’s Mouse,,,,,,,,,,,
Peromyscus,difficilis,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Vesperimus_difficilis|felipensis|amplus|petricola|saxicola,,Southern Rock Deermouse,Zacatecan Deermouse,,,,,,,,,,,
Peromyscus,eremicus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Hesperomys_eremicus|anthonyi|arenarius|tiburonensis|cedrosensis|phaeurus|avius|insulicola|polypolius|papagensis|cinereus|collatus|pullus|alcorni|sinaloensis,,Cactus Deermouse,Cactus Mouse,,,,,,,,,,,
Peromyscus,eva,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,eva|carmeni,,Southern Baja Deermouse,Eva’s Desert Mouse,,,,,,,,,,,
Peromyscus,fraterculus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,fraterculus|herroni|nigellus|propinquus|homochroia,,Northern Baja Deermouse,,,,,,,,,,,,
Peromyscus,furvus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_furvus|angustirostris,,Blackish Deermouse,,,,,,,,,,,,
Peromyscus,gambelii,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Hesperomys_gambelii|thurberi|clementis|medius|cineritius|coolidgei|dubius|exiguus|geronimensis|catalinae|magdalenae|margaritae|assimilis|dorsalis|elusus|exterus|santacruzae|streatori|hueyi|anacapae|sanctaerosae,,Gambel’s Deermouse,,,,,,,,,,,,
Peromyscus,gossypinus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Hesperomys_gossypinus|cognatus|megacephalus|mississippiensis|nigriculus|palmarius|anastasae|insulanus|restrictus|allapaticola|telmaphilus,,Cotton Deermouse,Cotton Mouse|Key Largo Cotton Mouse,,,,,,,,,,,
Peromyscus,gratus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_gratus|pavidus|gentilis|zelotes|erasmus|zapotecae,,Saxicoline Deermouse,Osgood’s Mouse,,,,,,,,,,,
Peromyscus,guardia,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_guardia|mejiae|harbisoni,,La Guarda Deermouse,Angel Island Mouse,,,,,,,,,,,
Peromyscus,gymnotis,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,gymnotis|allophylus,,Naked-eared Deermouse,,,,,,,,,,,,
Peromyscus,hooperi,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,hooperi,,Hooper’s Deermouse,Hooper’s Mouse,,,,,,,,,,,
Peromyscus,hylocetes,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_hylocetes,,Transvolcanic Deermouse,,,,,,,,,,,,
Peromyscus,interparietalis,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,interparietalis|lorenzi|ryckmani,,San Lorenzo Deermouse,San Lorenzo Mouse,,,,,,,,,,,
Peromyscus,keeni,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,macrorhinus|Sitomys_keeni|sitkensis|oreas|prevostensis|hylaeus|algidus|angustus|interdictus|isolatus|oceanicus|georgiensis|balaclavae|cancrivorus|doylei|maritimus|pluvialis|rubriventer|beresfordi|carli|sartinensis|triangularis,,North-western Deermouse,Keen’s Mouse,,,,,,,,,,,
Peromyscus,kilpatricki,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,kilpatricki,,Kilpatrick’s Deermouse,,,,,,,,,,,,
Peromyscus,labecula,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_labecula|blandus|fulvus,,Southern Deermouse,,,,,,,,,,,,
Peromyscus,laceianus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_pectoralis_laceianus,,Northern White-ankled Deermouse,Lacey’s White-ankled Mouse,,,,,,,,,,,
Peromyscus,latirostris,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_latirostris,,Wide-rostrum Deermouse,,,,,,,,,,,,
Peromyscus,leucopus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,leucopus|noveboracensis|myoides|emmonsi|arboreus|michiganensis|campestris|texanus|affinis|mearnsii|arizonae|canus|tornillo|musculoides|cozulmelae|minnesotae|flaccidus|castaneus|mesomelas|ammodytes|fuscus|aridulus|ochraceus|brevicaudus|caudatus|incensus|lachiguiriensis|easti,,White-footed Deermouse,White-footed Mouse,,,,,,,,,,,
Peromyscus,leucurus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,leucurus,,Tehuantepec Deermouse,,,,,,,,,,,,
Peromyscus,levipes,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_levipes|ambiguus,,Nimble-footed Deermouse,Nimble-footed Mouse,,,,,,,,,,,
Peromyscus,madrensis,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_madrensis,,Tres Marias Deermouse,,,,,,,,,,,,
Peromyscus,maniculatus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,maniculatus|gracilis|bairdi|abietorium|nubiterrae|argentatus|eremus|anticostiensis|plumbeus,,Eastern Deermouse,North American Deermouse,,,,,,,,,,,
Peromyscus,megalops,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,auritus|comptus|Peromyscus_megalops,,Broad-faced Deermouse,Brown Deermouse,,,,,,,,,,,
Peromyscus,mekisturus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_mekisturus,,Puebla Deermouse,,,,,,,,,,,,
Peromyscus,melanocarpus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_melanocarpus,,Black-wristed Deermouse,,,,,,,,,,,,
Peromyscus,melanophrys,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Hesperomys_(Vesperimus)_melanophrys|gadovii,,Plateau Deermouse,Plateau Mouse|Black-eyed Deermouse,,,,,,,,,,,
Peromyscus,melanotis,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_melanotis|cecilii|zamelas,,Black-eared Deermouse,Black-eared Mouse,,,,,,,,,,,
Peromyscus,melanurus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_megalops_melanurus,,Black-tailed Deermouse,Black-tailed Mouse,,,,,,,,,,,
Peromyscus,merriami,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_merriami|goldmani,,Merriam’s Deermouse,Merriam’s Mouse|Mesquite Mouse,,,,,,,,,,,
Peromyscus,mexicanus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,mexicanus|orizabae|saxatilis|tehuantepecus|cacabatus|altilaneus|angelensis|teapensis|philombrius|sloeops|azulensis|coatlanensis|putlaensis,,Mexican Deermouse,,,,,,,,,,,,
Peromyscus,micropus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,micropus,,Small-footed Deermouse,,,,,,,,,,,,
Peromyscus,nasutus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Vesperimus_nasutus|penicillatus|griseus,,Northern Rock Deermouse,Northern Rock Mouse,,,,,,,,,,,
Peromyscus,ochraventer,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_ochraventer,,El Carrizo Deermouse,,,,,,,,,,,,
Peromyscus,pectoralis,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,eremicoides|Peromyscus_attwateri_pectoralis|collinus|zimmermani,,Southern White-ankled Deermouse,Encinal Mouse,,,,,,,,,,,
Peromyscus,pembertoni,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,pembertoni,,Pemberton’s Deer Mouse,,,,,,,,,,,,
Peromyscus,perfulvus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_perfulvus,,Tawny Deermouse,Marsh Mouse,,,,,,,,,,,
Peromyscus,polionotus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,polionotus|niveiventris|subgriseus|arenarius|baliolus|phasma|rhoadsi|albifrons|leucocephalus|decoloratus|peninsularis|colemani|lucubrans|allophrys|ammobates|griseobracatus|sumneri|trissyllepsis,,Oldfield Deermouse,Beach Mouse|Alabama Beach Mouse|Anastasia Island Beach Mouse|Choctawhatchee Beach Mouse|Perdido Key Beach Mouse|Saint Andrews Beach Mouse,,,,,,,,,,,
Peromyscus,polius,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_polius,,Chihuahuan Deermouse,Chihuahuan Mouse,,,,,,,,,,,
Peromyscus,pseudocrinitus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,pseudocrinitus,,Coronados Deermouse,False Canyon Mouse,,,,,,,,,,,
Peromyscus,purepechus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,purepechus,,Purepechus Deermouse,,,,,,,,,,,,
Peromyscus,sagax,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_sagax,,Michoacan Deermouse,,,,,,,,,,,,
Peromyscus,schmidlyi,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,schmidlyi,,Durango Deermouse,Schmidly’s Deermouse,,,,,,,,,,,
Peromyscus,sejugis,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,sejugis,,Santa Cruz Deermouse,Santa Cruz Island Mouse,,,,,,,,,,,
Peromyscus,simulus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_spicilegus_simulus,,Sinaloan Deermouse,Nayarit Deermouse|Nayarit Mouse|Sinaloan Mouse,,,,,,,,,,,
Peromyscus,slevini,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,slevini,,Catalina Deermouse,Slevin’s Mouse,,,,,,,,,,,
Peromyscus,sonoriensis,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Hesp[eromys]_sonoriensis|austerus|nebrascensis|borealis|rufinus|artemisiae|pallescens|saturatus|rubidus|luteus|hollisteri|ozarkiarum|alpinus|inclarus|serratus|saxamans,,Western Deermouse,,,,,,,,,,,,
Peromyscus,spicilegus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_spicilegus,,Gleaning Deermouse,Gleaning Mouse,,,,,,,,,,,
Peromyscus,stephani,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_stephani,,San Esteban Deermouse,,,,,,,,,,,,
Peromyscus,truei,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Hesperomys_truei|megalotis|gilberti|martirensis|dyselius|hemionotis|lasius|montipinoris|lagunae|preblei|nevadensis|chlorus|sequoiensis|comanche,,Pinyon Deermouse,Pinyon Mouse,,,,,,,,,,,
Peromyscus,winkelmanni,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,winkelmanni,,Coalcoman Deermouse,Forest Mouse|Winkelmann’s Deermouse|Winkelmann’s Mouse,,,,,,,,,,,
Peromyscus,yucatanicus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,Peromyscus_yucatanicus|badius,,Yucatan Deermouse,,,,,,,,,,,,
Peromyscus,zamorae,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,consobrinus|Peromyscus_melanophrys_zamorae|xenurus|coahuilensis,,Zamora Deermouse,,,,,,,,,,,,
Peromyscus,zarhynchus,Peromyscus|Haplomylomys|Sitomys|Vesperimus|Trinodontomys,cristobalensis|Peromyscus_zarhynchus,,Chiapan Deermouse,,,,,,,,,,,,
Phenacomys,intermedius,Phenacomys|Propliophenacomys,intermedius|orophilus|truei|oramontis|preblei|constablei|olympicus|pumilus|celsus|levis|laingi,,Western Heather Vole,,,,,,,,,,,,
Phenacomys,ungava,Phenacomys|Propliophenacomys,celatus|latimanus|Phenacomys_ungava|crassus|mackenzii|soperi,,Eastern Heather Vole,,,,,,,,,,,,
Podomys,floridanus,Podomys,Hesperomys_floridanus,,Florida Deermouse,Florida Mouse,,,,,,,,,,,
Reithrodontomys,bakeri,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,bakeri,,Baker’s Harvest Mouse,Baker’s Small-toothed Harvest Mouse,,,,,,,,,,,
Reithrodontomys,burti,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,burti,,Sonoran Harvest Mouse,,,,,,,,,,,,
Reithrodontomys,chrysopsis,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,colimae|orizabae|perotensis|Reithrodontomys_chrysopsis|tolucae,,Volcano Harvest Mouse,,,,,,,,,,,,
Reithrodontomys,fulvescens,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,Reithrodontomys_mexicanus_fulvescens|aurantius|intermedius|laceyi|chrysotis|tenuis|difficilis|griseoflavus|helvolus|toltecus|inexspectatus|amoenus|chiapensis|mustelinus|nelsoni|canus|tropicalis|infernatis|meridionalis,,Fulvous Harvest Mouse,,,,,,,,,,,,
Reithrodontomys,gracilis,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,Reithrodontomys_mexicanus_gracilis|anthonyi|pacificus|harrisi|insularis,,Slender Harvest Mouse,,,,,,,,,,,,
Reithrodontomys,hirsutus,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,levipes|Reithrodontomys_hirsutus,,Hairy Harvest Mouse,,,,,,,,,,,,
Reithrodontomys,humulis,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,humulis|carolinensis|lecontii|dickinsoni|merriami|impiger|virginianus,,Eastern Harvest Mouse,,,,,,,,,,,,
Reithrodontomys,megalotis,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,longicaudus|Reithrodon_megalotis|aztecus|pallidus|arizonensis|deserti|dychei|nebrascensis|saturatus|klamathensis|alticolus|cinereus|peninsulae|sestinensis|catalinae|amoles|nigrescens|limicola|caryi|distichlis|ravus|pectoralis|santacruzae|hooperi,,Western Harvest Mouse,Southern Marsh Harvest Mouse,,,,,,,,,,,
Reithrodontomys,mexicanus,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,mexicanus|soederstroemi|goldmani|jalapae|milleri|howelli|lucifrons|minusculus|ocotepequensis|eremicus|orinus|scansor|riparius,,Mexican Harvest Mouse,,,,,,,,,,,,
Reithrodontomys,microdon,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,albilabris|Reithrodontomys_microdon|wagneri,,Small-toothed Harvest Mouse,,,,,,,,,,,,
Reithrodontomys,montanus,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,Reithrodon_montanus|albescens|griseus,,Plains Harvest Mouse,,,,,,,,,,,,
Reithrodontomys,raviventris,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,Reithrodontomys_raviventris|halicoetes,,Salt-marsh Harvest Mouse,,,,,,,,,,,,
Reithrodontomys,spectabilis,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,Reithrodontomys_spectabilis,,Cozumel Harvest Mouse,,,,,,,,,,,,
Reithrodontomys,sumichrasti,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,sumichrasti|australis|rufescens|dorsalis|nerterus|otus|vulcanius|modestus|alleni|luteolus|underwoodi|seclusus,,Sumichrast’s Harvest Mouse,,,,,,,,,,,,
Reithrodontomys,tenuirostris,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,aureus|Reithrodontomys_tenuirostris,,Narrow-nosed Harvest Mouse,,,,,,,,,,,,
Reithrodontomys,zacatecae,Reithrodontomys|Aporodon|Cudahyomys|Ochetodon,obscurus|Reithrodontomys_megalotis_zacatecae,,Zacatecan Harvest Mouse,,,,,,,,,,,,
Rheomys,mexicanus,Rheomys|Neorheomys,Rheomys_(Neorheomys)_mexicanus,,Mexican Water Mouse,Goodwin’s Water Mouse|Mexican Ichthyomyine,,,,,,,,,,,
Rheomys,thomasi,Rheomys|Neorheomys,stirtoni|thomasi|chiapensis,,Thomas’s Water Mouse,Thomas’ Ichthyomyine,,,,,,,,,,,
Scotinomys,teguina,Scotinomys,teguina|apricus|irazu|rufoniger|subnubilis|episcopis|garichensis|leridensis|cacabatus|escazuensis|endersi|stenopygius,,Short-tailed Singing Mouse,Alston’s Brown Mouse|Alston’s Singing Mouse,,,,,,,,,,,
Sigmodon,alleni,Sigmodon|Deilemys|Lasiomys|Sigmomys,Sigmodon_alleni|vulcani|guerrerensis|macdougalli|macrodon,,Allen’s Cotton Rat,Brown Cotton Rat,,,,,,,,,,,
Sigmodon,arizonae,Sigmodon|Deilemys|Lasiomys|Sigmomys,Sigmodon_hispidus_arizonae|major|jacksoni|cienegae|plenus,,Arizona Cotton Rat,Colorado River Cotton Rat,,,,,,,,,,,
Sigmodon,fulviventer,Sigmodon|Deilemys|Lasiomys|Sigmomys,Sigmodon_fulviventer|minimus|melanotis|goldmani|woodi|dalquesti,,Tawny-bellied Cotton Rat,,,,,,,,,,,,
Sigmodon,hirsutus,Sigmodon|Deilemys|Lasiomys|Sigmomys,hirsutus|bogotensis|sanctaemartae,,Burmeister’s Cotton Rat,Southern Cotton Rat,,,,,,,,,,,
Sigmodon,hispidus,Sigmodon|Deilemys|Lasiomys|Sigmomys,hispidus|texianus|berlandieri|littoralis|eremicus|pallidus|spadicipygus|confinis|exsputus|floridanus|insulicola|virginianus|alfredi|komareki|solus,,Hispid Cotton Rat,,,,,,,,,,,,
Sigmodon,leucotis,Sigmodon|Deilemys|Lasiomys|Sigmomys,alticola|amoles|Sigmodon_leucotis,,White-eared Cotton Rat,,,,,,,,,,,,
Sigmodon,mascotensis,Sigmodon|Deilemys|Lasiomys|Sigmomys,colimae|Sigmodon_mascotensis|tonalensis|inexoratus|atratus|obvelatus|ischyrus,,West Mexican Cotton Rat,Jaliscan Cotton Rat,,,,,,,,,,,
Sigmodon,ochrognathus,Sigmodon|Deilemys|Lasiomys|Sigmomys,Sigmodon_ochrognathus|baileyi|montanus|madrensis,,Yellow-nosed Cotton Rat,,,,,,,,,,,,
Sigmodon,planifrons,Sigmodon|Deilemys|Lasiomys|Sigmomys,Sigmodon_planifrons|minor|setzeri,,Miahuatlan Cotton Rat,,,,,,,,,,,,
Sigmodon,toltecus,Sigmodon|Deilemys|Lasiomys|Sigmomys,toltecus|microdon|saturatus|furvus|fervidus,,Toltec Cotton Rat,,,,,,,,,,,,
Sigmodon,zanjonensis,Sigmodon|Deilemys|Lasiomys|Sigmomys,Sigmodon_zanjonensis|villae,,Montane Cotton Rat,,,,,,,,,,,,
Synaptomys,borealis,Synaptomys|Mictomys|Kentuckomys|Metaxyomys|Praesynaptomys,borealis|innuitus|dalli|truei|wrangeli|sphagnicola|medioximus|bullatus|andersoni|chapmani|artemisiae|smithi,,Northern Bog Lemming,Okanagan Bog Lemming,,,,,,,,,,,
Synaptomys,cooperi,Synaptomys|Mictomys|Kentuckomys|Metaxyomys|Praesynaptomys,Synaptomys_cooperi|gossii|stonei|fatuus|helaletes|paludis|saturatus|kentucki|relictus|jesseni,,Southern Bog Lemming,Kansas Bog Lemming|Southern Lemming Mouse,,,,,,,,,,,
Tylomys,bullaris,Tylomys,Tylomys_bullaris,,Chiapan Climbing Rat,,,,,,,,,,,,
Tylomys,nudicaudus,Tylomys,nudicaudus|gymnurus|microdon|villai,,Peters’s Climbing Rat,,,,,,,,,,,,
Tylomys,tumbalensis,Tylomys,Tylomys_tumbalensis,,Tumbala Climbing Rat,,,,,,,,,,,,
Xenomys,nelsoni,Xenomys,Xenomys_nelsoni,,Magdalena Woodrat,Magdalena Rat,,,,,,,,,,,
Cuniculus,paca,Cuniculus|Agouti|Caelogenus|Caelogenys|Coelogenus|Coelogenys|Mamcoelogenysus|Osteopera|Paca|Stictomys,paca|alba|fulvus|subniger|maculata|rufa|platycephala|laticeps|rugiceps|fuscus|sublaevis|americana|virgatus|mexianae|nelsoni|guanta|venezuelica|silvagarciae,,Lowland Paca,Paca|Spotted Paca,,,,,,,,,,,
Dasyprocta,mexicana,Dasyprocta|Chloromys|Cloromis|Mamdasyproctaus,mexicana,,Mexican Agouti,Mexican Black Agouti,,,,,,,,,,,
Dasyprocta,punctata,Dasyprocta|Chloromys|Cloromis|Mamdasyproctaus,punctata|isthmica|colombiana|callida|chiapensis|dariensis|yucatanica|candelensis|chocoensis|nuchalis|pandora|richmondi|underwoodi|pallidiventris|bellula|zuliae,,Central American Agouti,,,,,,,,,,,,
Coendou,mexicanus,Coendou|Coandu|Coendu|Coendus|Cuandu|Echinoprocta|Sphiggurus|Cercolabes|Sinethere|Sinotherus|Synetheres,mexicanus|liebmani|yucataniae|laenatus,,Mexican Hairy Porcupine,Mexican Hairy Dwarf Porcupine|Mexican Porcupine|Mexican Tree Porcupine,,,,,,,,,,,
Erethizon,dorsatum,Erethizon|Erethison|Eretison|Eretizon|Erithizon|Erythizon,dorsatum|epixanthus|couesi|myops|picinum|nigrescens|bruneri|doani,,North American Porcupine,Quiller|Quill Pig,,,,,,,,,,,
Cratogeomys,castanops,Cratogeomys|Craterogeomys|Platygeomys,Pseudostoma_castanops|clarkii|angusticeps|consitus|convexus|excelsus|hirtus|lacrimalis|perplanus|subsimus|tamaulipensis|bullatus|jucundus|sordidulus|ustulatus|parviceps|perexiguus|pratensis|simulans|surculus|torridus|dalquesti,,Yellow-faced Pocket Gopher,,,,,,,,,,,,
Cratogeomys,fulvescens,Cratogeomys|Craterogeomys|Platygeomys,Cratogeomys_fulvescens,,Oriental Basin Pocket Gopher,Fulvous Pocket Gopher,,,,,,,,,,,
Cratogeomys,fumosus,Cratogeomys|Craterogeomys|Platygeomys,Geomys_fumosus|gymnurus|tylorhinus|neglectus|angustirostris|imparilis|inclarus|varius|zinseri|arvalis|atratus|morulus|tellus|zodius|brevirostris|russelli,,Smoky Pocket Gopher,,,,,,,,,,,,
Cratogeomys,goldmani,Cratogeomys|Craterogeomys|Platygeomys,Cratogeomys_castanops_goldmani|peridoneus|planifrons|rubellus|subnubilus|elibatus|maculatus,,Goldman’s Pocket Gopher,Goldman’s Yellow-faced Pocket Gopher,,,,,,,,,,,
Cratogeomys,merriami,Cratogeomys|Craterogeomys|Platygeomys,merriami|estor|oreocetes|peregrinus|irolonis|saccharalis|peraltus,,Merriam’s Pocket Gopher,,,,,,,,,,,,
