genus.x,specificEpithet.x,Genus synonyms,Epithet synonyms,Synonym edits,Main common name,Other common names,Excluded names,Accepted scientific name only,Accepted scientific name + common names,Accepted scientific name + common names + taxonomic synonyms,PubMed Virus Search,PubMed Central Virus Search,Scopus Virus Search,Google Scholar Virus Search 1,Google Scholar Virus Search 2,Google Scholar Virus Search 2,Google Scholar Virus Search 3
Lemmiscus,curtatus,Lemmiscus,Arvicola_curtata|pauperrimus|decurtata|pallidus|intermedius|artemisiae|levidensis|orbitus,,Sagebrush Vole,,,,,,,,,,,,
Lemmus,trimucronatus,Lemmus|Myodes|Brachyurus|Hypudaeus|Lemnus|Lemmus|Mirus|Miromus,trimucronatus|helvolus|subarticus|phaiocephalus,,Nearctic Brown Lemming,,,,,,,,,,,,
Megadontomys,cryophilus,Megadontomys,cryophilus,,Oaxacan Big-toothed Deermouse,Oaxacan Giant Deermouse,,,,,,,,,,,
Megadontomys,nelsoni,Megadontomys,Peromyscus_(Megadontomys)_nelsoni,,Nelson’s Big-toothed Deermouse,Nelson’s Giant Deer Mouse,,,,,,,,,,,
Megadontomys,thomasi,Megadontomys,Peromyscus_(Megadontomys)_thomasi,,Thomas’s Big-toothed Deermouse,Thomas’s Deermouse|Thomas’s Giant Deer Mouse,,,,,,,,,,,
Microtus,californicus,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,Arvicola_californica|edax|trowbridgii|vallicola|constrictus|scirpensis|hyperuthrus|aestuarinus|eximius|kernensis|mariposae|mohavensis|sanctidiegi|perplexabilis|aequivocatus|grinnelli|stephensi|paludicola|halophilus|sanpabloensis,,California Vole,Amargosa Vole|California Meadow Mouse,,,,,,,,,,,
Microtus,canicaudus,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,Microtus_canicaudus,,Gray-tailed Vole,,,,,,,,,,,,
Microtus,chrotorrhinus,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,chrotorrhinus|ravus|carolinensis,,Rock Vole,Southern Rock Vole|Yellow-nosed Vole,,,,,,,,,,,
Microtus,drummondii,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,drummondii|modestus|aztecus|insperatus|microcephalus|inspectus|stonei|aphorodemus|admiraltiae|wahema|funebris|rubidus|kincaidi|alcorni|arcticus|tananaensis|finitus|pullatus|uligocola|chihuahuensis,,Western Meadow Vole,Chihuahua Vole|Potholes Meadow Vole|Admiralty Island Meadow Vole,,,,,,,,,,,
Microtus,dukecampbelli,Microtus|Agricola|Ammomys|Arbusticola|Arvalomys|Aulacomys|Blanfordimys|Bicunedens|Campicola|Campicoloma|Chilotus|Euarvicola|Herpetomys|Iberomys|Isodelta|Meridiopitymys|Micrurus|Mynomes|Orthriomys|Parapitymys|Pedomys|Pinemys|Pitymys|Psammomys|Sumeriomys|Sylvicola|Tetramerodon|Terricola|Tibercola|Tyrrhenicola,dukecampbelli,,Florida Salt Marsh Vole,,,,,,,,,,,,
